Session,Treatment,Iteration,Time (Recording),Time (Session),no step,S1,S2,S3,S4,S5,S6,S7
P35T2,Jest,2,0:34:13,2:00,,,0:00:11,,,,,
P35T2,Jest,2,0:34:24,2:11,,,,,0:00:04,,,
P35T2,Jest,2,0:34:28,2:15,,,,,,0:00:07,,
P35T2,Jest,2,0:34:35,2:23,,,,,,,0:00:07,
P35T2,Jest,2,0:34:42,2:29,,,,,,,,0:00:01
P35T2,Jest,3,0:34:43,2:30,,,0:00:30,,,,,
P35T2,Jest,3,0:35:13,3:00,,,0:00:30,,,,,
P35T2,Jest,3,0:35:43,3:30,,,0:00:10,,,,,
P35T2,Jest,3,0:35:53,3:40,,,,,0:00:20,,,
P35T2,Jest,3,0:36:13,4:00,,,,,0:00:30,,,
P35T2,Jest,3,0:36:43,4:30,0:00:08,,,,,,,
P35T2,Jest,3,0:36:51,4:38,,,,,,0:00:07,,
P35T2,Jest,3,0:36:58,4:45,,,,,,,0:00:05,
P35T2,Jest,3,0:37:03,4:50,,,,,,,,0:00:10
P35T2,Jest,3,0:37:13,5:00,0:00:08,,,,,,,
P35T2,Jest,3,0:37:21,5:08,,,,,,0:00:08,,
P35T2,Jest,3,0:37:29,5:16,,,,,,,0:00:14,
P35T2,Jest,4,0:37:43,5:30,,,0:00:30,,,,,
P35T2,Jest,4,0:38:13,6:00,,,,,0:00:30,,,
P35T2,Jest,4,0:38:43,6:30,,,0:00:13,,,,,
P35T2,Jest,4,0:38:56,6:43,0:00:04,,,,,,,
P35T2,Jest,4,0:39:00,6:47,,,,,,0:00:03,,
P35T2,Jest,4,0:39:03,6:50,0:00:07,,,,,,,
P35T2,Jest,4,0:39:10,6:57,,,,,,0:00:03,,
P35T2,Jest,4,0:39:13,7:00,,,,,,0:00:03,,
P35T2,Jest,4,0:39:16,7:03,,,,,,,0:00:08,
P35T2,Jest,4,0:39:24,7:11,0:00:04,,,,,,,
P35T2,Jest,4,0:39:28,7:15,,,,,,0:00:07,,
P35T2,Jest,4,0:39:35,7:22,,,,,,,0:00:08,
P35T2,Jest,4,0:39:43,7:30,,,,,,,,0:00:04
P35T2,Jest,5,0:39:47,7:34,,,0:00:26,,,,,
P35T2,Jest,5,0:40:13,8:00,,,,,0:00:30,,,
P35T2,Jest,5,0:40:43,8:30,,,,,0:00:30,,,
P35T2,Jest,5,0:41:13,9:00,,,,,,0:00:10,,
P35T2,Jest,5,0:41:23,9:10,,,,,,,0:00:05,
P35T2,Jest,5,0:41:28,9:15,0:00:15,,,,,,,
P35T2,Jest,5,0:41:43,9:30,,,,,0:00:13,,,
P35T2,Jest,5,0:41:56,9:43,,,,,,0:00:04,,
P35T2,Jest,5,0:42:00,9:47,,,,,,,0:00:13,
P35T2,Jest,6,0:42:13,10:00,,,0:00:30,,,,,
P35T2,Jest,6,0:42:43,10:30,,,0:00:18,,,,,
P35T2,Jest,6,0:43:01,10:48,,,,,0:00:10,,,
P35T2,Jest,6,0:43:11,10:58,,,,,,0:00:02,,
P35T2,Jest,6,0:43:13,11:00,,,,,,0:00:02,,
P35T2,Jest,6,0:43:15,11:02,,,,,,,0:00:04,
P35T2,Jest,6,0:43:19,11:06,,,,,,,,0:00:01
P35T2,Jest,6,0:43:20,11:07,,,,,0:00:08,,,
P35T2,Jest,6,0:43:28,11:15,,,,,,0:00:05,,
P35T2,Jest,6,0:43:33,11:20,,,,,,,0:00:03,
P35T2,Jest,6,0:43:36,11:23,,,,,0:00:07,,,
P35T2,Jest,6,0:43:43,11:30,,,,,0:00:12,,,
P35T2,Jest,6,0:43:55,11:42,,,,,,0:00:18,,
